metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
temporal.server.reject_workflow_update_message.count,count,,,,,0,temporal,reject workflow update message count,
temporal.server.activity.eager_execution.count,count,,,,,0,temporal,activity eager execution count,
temporal.server.workflow.eager_execution.count,count,,,,,0,temporal,workflow eager execution count,
temporal.server.workflow.eager_execution.denied.count,count,,,,,0,temporal,workflow eager execution denied count,
temporal.server.empty_completion_commands.count,count,,,,,0,temporal,empty completion commands count,
temporal.server.multiple_completion_commands.count,count,,,,,0,temporal,multiple completion commands count,
temporal.server.failed_workflow_tasks.count,count,,,,,0,temporal,failed workflow tasks count,
temporal.server.workflow.task.attempt.bucket,count,,,,,0,temporal,workflow task attempt bucket,
temporal.server.workflow.task.attempt.count,count,,,,,0,temporal,workflow task attempt count,
temporal.server.workflow.task.attempt.sum,count,,,,,0,temporal,workflow task attempt sum,
temporal.server.stale_mutable_state.count,count,,,,,0,temporal,stale mutable state count,
temporal.server.auto_reset_points.exceed_limit.count,count,,,,,0,temporal,auto reset points exceed limit count,
temporal.server.auto_reset_point.corruption.count,count,,,,,0,temporal,auto reset point corruption count,
temporal.server.concurrency_update_failure.count,count,,,,,0,temporal,concurrency update failure count,
temporal.server.service.errors.shard_ownership_lost.count,count,,,,,0,temporal,service errors shard ownership lost count,
temporal.server.heartbeat.timeout.count,count,,,,,0,temporal,heartbeat timeout count,
temporal.server.schedule_to_start.timeout.count,count,,,,,0,temporal,schedule to start timeout count,
temporal.server.start_to_close.timeout.count,count,,,,,0,temporal,start to close timeout count,
temporal.server.schedule_to_close.timeout.count,count,,,,,0,temporal,schedule to close timeout count,
temporal.server.new_timer_notifications.count,count,,,,,0,temporal,new timer notifications count,
temporal.server.acquire_shards.count,count,,,,,0,temporal,acquire shards count,
temporal.server.acquire_shards.latency.bucket,count,,,,,0,temporal,acquire shards latency bucket,
temporal.server.acquire_shards.latency.count,count,,,,,0,temporal,acquire shards latency count,
temporal.server.acquire_shards.latency.sum,count,,millisecond,,,0,temporal,acquire shards latency sum,
temporal.server.membership_changed.count,count,,,,,0,temporal,membership changed count,
temporal.server.numshards,gauge,,,,,0,temporal,numshards,
